id,road,linkId,side_of_road,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total,width_start,width_end,width_length,numberLanes
69,N1,N1-22,Left,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,294,5781,770,1356,307,516,257,732,1429,384,72,144,0,11826,216,12042,89.41,91.583,2.173,6
70,N1,N1-22,Right,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),LRP091,897,89.41,LRP093,1090,91.583,2.173,321,5542,848,1306,321,522,282,825,1412,370,64,143,0,11749,207,11956,89.41,91.583,2.173,6
71,N1,N1-23,Left,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.879,14.296,294,5781,770,1356,307,516,257,732,1429,384,72,144,0,11826,216,12042,91.583,105.879,14.296,6
72,N1,N1-23,Right,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),LRP093,1090,91.583,LRP105,3631,105.879,14.296,321,5542,848,1306,321,522,282,825,1412,370,64,143,0,11749,207,11956,91.583,105.879,14.296,6
73,N1,N1-24,Left,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.879,LRP105,17450,119.698,13.819,294,5781,770,1356,307,516,257,732,1429,384,72,144,0,11826,216,12042,105.879,119.698,13.819,6
74,N1,N1-24,Right,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),LRP105,3631,105.879,LRP105,17450,119.698,13.819,321,5542,848,1306,321,522,282,825,1412,370,64,143,0,11749,207,11956,105.879,119.698,13.819,6
75,N1,N1-25,Left,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,459,3515,726,761,304,688,251,508,929,324,33,121,0,8465,154,8619,119.698,138.869,19.171,6
76,N1,N1-25,Right,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right),LRP105,17450,119.698,LRP142,230,138.869,19.171,398,3838,863,780,314,674,306,589,760,353,36,115,0,8875,151,9026,119.698,138.869,19.171,6
77,N1,N1-26,Left,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,459,3515,726,761,304,688,251,508,929,324,33,121,0,8465,154,8619,138.869,140.251,1.382,6
78,N1,N1-26,Right,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Right),LRP142,230,138.869,LRP143,500,140.251,1.382,398,3838,863,780,314,674,306,589,760,353,36,115,0,8875,151,9026,138.869,140.251,1.382,6
79,N1,N1-27,Left,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500,140.251,LRP146,240,143.034,2.783,626,4617,1156,1923,588,791,216,716,1212,331,92,228,0,12176,320,12496,140.251,143.034,2.783,6
80,N1,N1-27,Right,Int.with Z1031 - Elahiganj (Feni) Z1030 (Right),LRP143,500,140.251,LRP146,240,143.034,2.783,728,4991,1253,2234,667,1164,249,813,1676,426,148,235,0,14201,383,14584,140.251,143.034,2.783,6
81,N1,N1-28,Left,Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Left),LRP146,240,143.034,LRP147,1614,145.409,2.375,728,4991,1253,2234,667,1164,249,813,1676,426,148,235,0,14201,383,14584,143.034,145.409,2.375,6
82,N1,N1-28,Right,Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Right),LRP146,240,143.034,LRP147,1614,145.409,2.375,626,4617,1156,1923,588,791,216,716,1212,331,92,228,0,12176,320,12496,143.034,145.409,2.375,6
83,N1,N1-29,Left,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614,145.409,LRP152,448,149.289,3.88,355,5555,1533,1572,630,1141,285,980,1252,415,89,199,0,13718,288,14006,145.409,149.289,3.88,6
84,N1,N1-29,Right,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right),LRP147,1614,145.409,LRP152,448,149.289,3.88,350,5976,1656,1618,669,1185,355,1071,1266,409,96,196,0,14555,292,14847,145.409,149.289,3.88,6
85,N1,N1-30,Left,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448,149.289,LRP160,738,157.685,8.396,393,4967,1201,1656,293,775,282,973,840,207,224,188,0,11587,412,11999,149.289,157.685,8.396,6
86,N1,N1-30,Right,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Right),LRP152,448,149.289,LRP160,738,157.685,8.396,437,5132,981,1477,239,613,235,833,847,187,200,141,0,10981,341,11322,149.289,157.685,8.396,6
87,N1,N1-31,Left,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738,157.685,LRP164,619,161.582,3.897,355,5555,1533,1572,630,1141,285,980,1252,415,89,199,0,13718,288,14006,157.685,161.582,3.897,6
88,N1,N1-31,Right,Fazilpur Z1081 - Muhuriganj Z1032 (Right),LRP160,738,157.685,LRP164,619,161.582,3.897,350,5976,1656,1618,669,1185,355,1071,1266,409,96,196,0,14555,292,14847,157.685,161.582,3.897,6
89,N1,N1-32,Left,Muhuriganj Z1032-Baraiyerhat R151 (Left),LRP164,619,161.582,LRP164,6720,167.683,6.101,366,3877,1050,1313,539,752,319,770,2247,371,109,251,0,11604,360,11964,161.582,167.683,6.101,6
90,N1,N1-32,Right,Muhuriganj Z1032-Baraiyerhat R151 (Right),LRP164,619,161.582,LRP164,6720,167.683,6.101,376,4095,978,1358,526,765,277,770,2304,292,75,282,0,11741,357,12098,161.582,167.683,6.101,6
91,N1,N1-33,Left,Baraiyerhat R151- Mirersarai Z1021 (Left),LRP164,6720,167.683,LRP164,20501,181.464,13.781,366,3877,1050,1313,539,752,319,770,2247,371,109,251,0,11604,360,11964,167.683,181.464,13.781,6
92,N1,N1-33,Right,Baraiyerhat R151- Mirersarai Z1021 (Right),LRP164,6720,167.683,LRP164,20501,181.464,13.781,376,4095,978,1358,526,765,277,770,2304,292,75,282,0,11741,357,12098,167.683,181.464,13.781,6
93,N1,N1-34,Left,Mirersarai Z1021 - Baroirdala Z1086 (Left),LRP164,20501,181.464,LRP197,1120,194.603,13.139,366,3877,1050,1313,539,752,319,770,2247,371,109,251,0,11604,360,11964,181.464,194.603,13.139,6
94,N1,N1-34,Right,Mirersarai Z1021 - Baroirdala Z1086 (Right),LRP164,20501,181.464,LRP197,1120,194.603,13.139,376,4095,978,1358,526,765,277,770,2304,292,75,282,0,11741,357,12098,181.464,194.603,13.139,6
95,N1,N1-35,Left,Baroirdala Z1086- Barabkunda Z1087 (Left),LRP197,1120,194.603,LRP209,486,206.402,11.799,986,5219,1000,1499,561,881,230,831,2864,451,93,288,0,14522,381,14903,194.603,206.402,11.799,6
96,N1,N1-35,Right,Baroirdala Z1086- Barabkunda Z1087 (Right),LRP197,1120,194.603,LRP209,486,206.402,11.799,1217,5230,1456,1648,654,843,247,775,2735,415,109,350,0,15220,459,15679,194.603,206.402,11.799,6
97,N1,N1-36,Left,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486,206.402,LRP225,6400,228.406,22.004,986,5219,1000,1499,561,881,230,831,2864,451,93,288,0,14522,381,14903,206.402,228.406,22.004,6
98,N1,N1-36,Right,Barabkunda Z1087-Fouzderhat Z1016 (Right),LRP209,486,206.402,LRP225,6400,228.406,22.004,1217,5230,1456,1648,654,843,247,775,2735,415,109,350,0,15220,459,15679,206.402,228.406,22.004,6
99,N1,N1-37,Both,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,228.406,229.046,0.64,6
100,N1,N1-37,Both,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,229.046,230.606,1.56,8
101,N1,N1-37,Both,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,230.606,232.754,2.148,6
102,N1,N1-38,Both,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,232.754,241.063,8.309,6
103,N1,N1-38,Both,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,241.063,242.556,1.493,2
104,N1,N1-38,Both,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,242.556,245.156,2.6,4
105,N1,N1-38,Both,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,245.156,246.856,1.7,2
106,N1,N1-38,Both,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,246.856,247.893,1.037,2
107,N1,N1-39,Both,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,247.893,250.445,2.552,2
108,N1,N1-40,Both,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,250.445,252.956,2.511,2
109,N1,N1-41,Both,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.769,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550,252.956,255.725,2.769,2
110,N1,N1-42,Both,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115,255.725,256.809,1.084,2
111,N1,N1-43,Both,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115,256.809,263.744,6.935,2
112,N1,N1-44,Both,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826,263.744,264.07,0.326,2
113,N1,N1-45,Both,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826,264.07,265.41,1.34,2
114,N1,N1-46,Both,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826,265.41,274.982,9.572,2
115,N1,N1-47,Both,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742,274.982,278.013,3.031,2
116,N1,N1-48,Both,Hashimpur Z1036- Keranirhat N108,LRP281,700,278.013,LRP291,2558,289.612,11.599,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742,278.013,289.612,11.599,2
117,N1,N1-49,Both,Keranirhat N108 - Int.with Z1019,LRP291,2558,289.612,LRP291,2920,289.974,0.362,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742,289.612,289.974,0.362,2
118,N1,N1-50,Both,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920,289.974,LRP299,2769,297.441,7.467,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742,289.974,297.441,7.467,2
119,N1,N1-51,Both,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769,297.441,LRP312,171,307.582,10.141,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623,297.441,307.582,10.141,2
120,N1,N1-52,Both,Chunati R171 - Aziznagar Z1007,LRP312,171,307.582,LRP320,308,315.728,8.146,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623,307.582,315.728,8.146,2
121,N1,N1-53,Both,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308,315.728,LRP321,63,316.356,0.628,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623,315.728,316.356,0.628,2
122,N1,N1-54,Both,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63,316.356,LRP328,485,323.842,7.486,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623,316.356,323.842,7.486,2
123,N1,N1-55,Both,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485,323.842,LRP331,844,327.188,3.346,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066,323.842,327.188,3.346,2
124,N1,N1-56,Both,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844,327.188,LRP335,500,330.874,3.686,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066,327.188,330.874,3.686,2
125,N1,N1-57,Both,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500,330.874,LRP336,764,332.066,1.192,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066,330.874,332.066,1.192,2
126,N1,N1-58,Both,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764,332.066,LRP336,1575,332.877,0.811,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066,332.066,332.877,0.811,2
127,N1,N1-59,Both,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.877,LRP341,852,337.31,4.433,39,1009,549,784,238,1018,165,318,2511,1443,428,4183,0,8074,4611,12685,332.877,337.31,4.433,2
128,N1,N1-60,Both,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843,337.31,343.559,6.249,2
129,N1,N1-61,Both,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.054,6.495,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843,343.559,350.054,6.495,2
130,N1,N1-62,Both,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.054,LRP376,57,370.982,20.928,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843,350.054,370.982,20.928,2
131,N1,N1-63,Both,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57,370.982,LRP378,593,373.475,2.493,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843,370.982,373.475,2.493,2
132,N1,N1-64,Both,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593,373.475,LRP386,724,381.481,8.006,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843,373.475,381.481,8.006,2
133,N1,N1-65,Both,Coxsbazar Link Road N110-Maricha Z1009,LRP386,724,381.481,LRP403,217,398.205,16.724,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820,381.481,398.205,16.724,2
134,N1,N1-66,Both,Maricha Z1009-Ukhia Dakbanglo Z1503,LRP403,217,398.205,LRP413,300,408.434,10.229,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820,398.205,408.434,10.229,2
135,N1,N1-67,Both,Ukhia Dakbanglo Z1503 - Gundum Z1504,LRP413,300,408.434,LRP420,900,416.044,7.61,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820,408.434,416.044,7.61,2
136,N1,N1-68,Both,GundumGundum Z1504 - Whykong Z1133,LRP420,900,416.044,LRP433,521,428.908,12.864,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820,416.044,428.908,12.864,2
137,N1,N1-69,Both,Whykong Z1133 - Teknaf,LRP433,521,428.908,LRP467,130,462.254,33.346,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820,428.908,462.254,33.346,2