,road,LRPName,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
0,N1,LRP010c,10.897,5.0,8.496,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
1,N1,LRP013b,12.688,8.0,12.111111111111112,347.5555555555556,248.11111111111111,228.74074074074073,192.55555555555554,168.07407407407408,22.0,136.44444444444443,230.88888888888889,85.07407407407406,26.962962962962962,96.5925925925926,0.0,1671.5555555555557,123.55555555555556,1795.111111111111
2,N1,LRP018c,18.093,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
3,N1,LRP021c,21.184,4.0,9.359375,161.140625,104.671875,96.5,81.234375,70.90625,12.484375,64.03125,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
4,N1,LRP023d,23.081,6.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
5,N1,LRP028b,28.315,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
6,N1,LRP032b,31.472,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
7,N1,LRP034b,33.591,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
8,N1,LRP037a,37.01,5.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
9,N1,LRP049a,48.384,6.0,11.046875,151.765625,27.796875,51.0,18.71875,21.78125,12.421875,33.984375,24.78125,5.15625,1.09375,3.953125,0.0,358.453125,5.046875,363.5
10,N1,LRP064a,63.098,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
11,N1,LRP076a,75.312,6.0,3.2731481481481484,50.268518518518526,8.23611111111111,17.069444444444446,5.546296296296297,9.240740740740742,3.7407407407407405,10.449074074074074,18.069444444444446,5.1342592592592595,1.037037037037037,1.6574074074074074,0.0,127.93055555555556,2.6944444444444446,130.625
12,N1,LRP088a,87.713,6.0,2.9814814814814814,52.4212962962963,7.490740740740741,17.069444444444446,4.296296296296296,9.240740740740742,3.7407407407407405,10.449074074074074,18.069444444444446,5.1342592592592595,1.037037037037037,1.6574074074074074,0.0,127.93055555555556,2.6944444444444446,130.625
13,N1,LRP105a,104.753,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
14,N1,LRP112a,111.509,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
15,N1,LRP117a,116.074,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
16,N1,LRP120a,119.19,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
17,N1,LRP125a,124.346,6.0,3.967592592592593,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,6.305555555555556,2.5787037037037037,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
18,N1,LRP131a,129.955,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
19,N1,LRP135b,134.426,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
20,N1,LRP140a,138.953,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
21,N1,LRP149b,148.174,6.0,6.268518518518518,53.38425925925926,14.763888888888888,19.24537037037037,6.013888888888889,10.768518518518519,2.9629629629629632,9.49537037037037,13.370370370370368,3.814814814814815,1.1111111111111112,2.1435185185185186,0.0,130.89351851851853,3.2546296296296298,133.5787037037037
22,N1,LRP166c,165.825,6.0,3.842592592592593,53.38425925925926,14.763888888888888,14.768518518518517,6.013888888888889,10.768518518518519,2.9629629629629632,9.49537037037037,21.069444444444446,3.814814814814815,1.962962962962963,2.4675925925925926,0.0,130.89351851851853,3.486111111111111,133.5787037037037
23,N1,LRP172a,171.554,6.0,3.435185185185185,36.90740740740741,9.38888888888889,12.36574074074074,4.930555555555555,7.023148148148149,2.759259259259259,7.12962962962963,21.069444444444446,3.0694444444444446,0.851851851851852,2.4675925925925926,0.0,108.07870370370371,3.3194444444444446,111.39814814814815
24,N1,LRP174c,173.585,6.0,3.435185185185185,36.90740740740741,9.38888888888889,12.36574074074074,4.930555555555555,7.023148148148149,2.759259259259259,7.12962962962963,21.069444444444446,3.0694444444444446,0.851851851851852,2.4675925925925926,0.0,108.07870370370371,3.3194444444444446,111.39814814814815
25,N1,LRP181a,179.363,6.0,3.435185185185185,36.90740740740741,9.38888888888889,12.36574074074074,4.930555555555555,7.023148148148149,2.759259259259259,7.12962962962963,21.069444444444446,3.0694444444444446,0.851851851851852,2.4675925925925926,0.0,108.07870370370371,3.3194444444444446,111.39814814814815
26,N1,LRP187a,185.058,6.0,3.435185185185185,36.90740740740741,9.38888888888889,12.36574074074074,4.930555555555555,7.023148148148149,2.759259259259259,7.12962962962963,21.069444444444446,3.0694444444444446,0.851851851851852,2.4675925925925926,0.0,108.07870370370371,3.3194444444444446,111.39814814814815
27,N1,LRP193a,191.107,6.0,3.435185185185185,36.90740740740741,9.38888888888889,12.36574074074074,4.930555555555555,7.023148148148149,2.759259259259259,7.12962962962963,21.069444444444446,3.0694444444444446,0.851851851851852,2.4675925925925926,0.0,108.07870370370371,3.3194444444444446,111.39814814814815
28,N1,LRP198a,196.038,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.759259259259259,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
29,N1,LRP202a,200.277,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
30,N1,LRP206a,203.457,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
31,N1,LRP209a,206.866,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
32,N1,LRP213a,210.476,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
33,N1,LRP218a,215.467,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
34,N1,LRP223a,220.725,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
35,N1,LRP230a,228.029,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
36,N1,LRP236a,242.016,8.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
37,N1,LRP242b,247.637,4.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
38,N1,LRP245b,250.519,2.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
39,N1,LRP250a,254.333,2.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
40,N1,LRP257a,262.116,2.0,3.75,138.125,101.0,124.25,82.25,185.375,38.125,86.75,390.625,72.625,27.625,53.25,0.875,1207.625,80.875,1264.375
41,N1,LRP264c,269.199,2.0,3.0,147.625,110.25,100.25,79.875,163.375,24.5,105.0,508.75,113.75,102.375,394.5,0.0,1356.375,496.875,1853.25
42,N1,LRP269a,273.008,2.0,3.0,147.625,110.25,100.25,79.875,163.375,24.5,105.0,508.75,113.75,102.375,394.5,0.0,1356.375,496.875,1853.25
43,N1,LRP276a,280.299,2.0,3.0,147.625,154.625,118.0,79.875,163.375,24.5,105.0,813.125,113.75,102.375,394.5,0.0,1584.875,496.875,1853.25
44,N1,LRP283a,286.631,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
45,N1,LRP288a,292.426,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
46,N1,LRP292b,296.135,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
47,N1,LRP295b,299.434,2.0,5.25,295.5,154.625,126.875,98.375,253.125,43.125,126.625,813.125,113.125,80.25,105.375,0.0,1584.875,171.25,1717.75
48,N1,LRP300a,303.782,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
49,N1,LRP302c,305.794,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
50,N1,LRP306a,309.355,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
51,N1,LRP309b,312.609,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
52,N1,LRP314a,318.11,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
53,N1,LRP319a,322.5,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
54,N1,LRP322a,325.49,2.0,5.5,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
55,N1,LRP328a,331.259,2.0,5.5,96.75,31.125,93.625,18.0,132.25,25.25,82.625,141.625,69.0,29.125,33.375,0.0,695.75,62.5,758.25
56,N1,LRP335a,338.859,2.0,4.875,126.125,68.625,98.0,29.75,127.25,20.625,39.75,313.875,180.375,53.5,522.875,0.0,1009.25,576.375,1585.625
57,N1,LRP342a,345.592,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
58,N1,LRP348a,351.628,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
59,N1,LRP352a,356.261,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
60,N1,LRP357c,360.551,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
61,N1,LRP359b,362.889,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
62,N1,LRP364d,368.129,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
63,N1,LRP369b,372.782,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
64,N1,LRP371c,375.035,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
65,N1,LRP374c,377.753,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
66,N1,LRP377c,380.615,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
67,N1,LRP379b,383.098,2.0,4.375,74.375,19.875,51.5,25.0,95.0,16.375,17.75,309.5,52.375,14.75,130.25,0.0,585.125,142.375,727.5
68,N1,LRP381b,384.978,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
69,N1,LRP383b,386.968,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
70,N1,LRP385b,388.733,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
71,N1,LRP386a,389.538,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
72,N1,LRP386g,390.356,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
73,N1,LRP387f,391.373,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
74,N1,LRP389a,392.526,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
75,N1,LRP391a,394.681,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
76,N1,LRP394c,397.679,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
77,N1,LRP398b,401.89,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
78,N1,LRP401a,404.487,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
79,N1,LRP403b,406.791,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
80,N1,LRP409a,412.931,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
81,N1,LRP411a,415.056,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
82,N1,LRP413b,417.29,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
83,N1,LRP416b,419.88,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
84,N1,LRP417c,420.952,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
85,N1,LRP419c,423.442,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
86,N1,LRP421a,424.577,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
87,N1,LRP422c,426.555,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
88,N1,LRP424a,427.622,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
89,N1,LRP425b,428.89,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
90,N1,LRP426d,430.072,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
91,N1,LRP428a,431.877,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
92,N1,LRP429c,432.924,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
93,N1,LRP430d,434.37,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
94,N1,LRP432b,436.388,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
95,N1,LRP434b,438.506,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
96,N1,LRP437b,440.977,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
97,N1,LRP440a,444.315,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
98,N1,LRP444a,447.893,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
99,N1,LRP445b,449.101,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
100,N1,LRP447b,450.943,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
101,N1,LRP449d,453.05,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
102,N1,LRP451a,454.673,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
103,N1,LRP451i,455.496,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
104,N1,LRP452h,456.287,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
105,N1,LRP455a,458.799,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
106,N1,LRP456c,460.113,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
